payment_id,order_id,payment_date,amount,payment_method,payment_status
76,76,2024-09-04,25418.92,UPI,Completed
77,77,2024-09-16,553983.28,Wallet,Completed
78,78,2024-03-22,223455.19,Cash on Delivery,Completed
79,79,2025-08-01,167706.88,Net Banking,Refunded
80,80,2024-11-03,331359.79,UPI,Refunded
81,81,2026-02-16,445943.2,Net Banking,Completed
82,82,2025-01-23,682638.19,Debit Card,Completed
83,83,2024-02-28,247494.19,Net Banking,Refunded
84,84,2024-03-26,127070.24,Cash on Delivery,Refunded
85,85,2025-10-22,106157.82,UPI,Completed
86,86,2026-07-05,498284.33,UPI,Completed
87,87,2026-07-11,108956.83,Net Banking,Completed
88,88,2026-08-05,449483.31,Credit Card,Refunded
89,89,2026-07-09,590402.45,Net Banking,Completed
90,90,2024-01-18,440416.3,Cash on Delivery,Completed
91,91,2026-02-10,172916.9,Debit Card,Completed
92,92,2024-06-15,148670.85,Debit Card,Completed
93,93,2025-11-24,780618.08,Wallet,Completed
94,94,2026-01-27,821397.45,UPI,Refunded
95,95,2026-01-11,104553.36,Debit Card,Completed
96,96,2024-12-21,337759.26,Debit Card,Completed
97,97,2024-08-25,410261.25,Credit Card,Completed
98,98,2026-02-26,176014.08,Wallet,Refunded
99,99,2024-02-01,316098.24,Cash on Delivery,Refunded
100,100,2025-05-17,155044.38,Cash on Delivery,Completed
101,101,2025-01-19,178999.19,Net Banking,Completed
102,102,2025-08-23,170035.71,Cash on Delivery,Completed
103,103,2025-09-26,425061.29,Net Banking,Refunded
104,104,2026-01-01,132729.14,Net Banking,Completed
105,105,2024-06-06,82572.92,Cash on Delivery,Refunded
106,106,2024-06-07,710026.63,Net Banking,Completed
107,107,2024-04-19,389712.05,Cash on Delivery,Completed
108,108,2025-03-31,558292.82,Credit Card,Refunded
109,109,2024-04-15,270624.7,Net Banking,Completed
110,110,2025-03-17,80930.5,Net Banking,Completed
111,111,2025-06-08,244923.2,Net Banking,Completed
112,112,2024-04-01,474162.67,Net Banking,Completed
113,113,2025-09-04,72800.42,Wallet,Refunded
114,114,2024-01-13,406606.94,Credit Card,Completed
115,115,2026-03-08,375373.0,Net Banking,Refunded
116,116,2026-07-15,227053.23,Cash on Delivery,Completed
117,117,2024-06-23,336632.62,Debit Card,Completed
118,118,2024-10-03,196165.0,Debit Card,Completed
119,119,2024-05-30,248734.5,Net Banking,Completed
120,120,2024-10-10,256164.54,UPI,Completed
121,121,2026-03-12,397997.4,Net Banking,Completed
122,122,2024-09-10,482809.72,Wallet,Completed
123,123,2024-07-20,250570.53,UPI,Completed
124,124,2024-11-08,442434.08,UPI,Completed
125,125,2026-05-12,821117.17,Debit Card,Refunded
126,126,2025-03-26,479.26,Cash on Delivery,Completed
127,127,2025-08-31,385655.73,Credit Card,Completed
128,128,2025-09-10,239093.1,Debit Card,Completed
129,129,2024-07-01,342036.75,Net Banking,Completed
130,130,2026-01-22,338696.65,Wallet,Pending
131,131,2024-11-29,253031.7,Net Banking,Completed
132,132,2025-01-08,479.26,Net Banking,Pending
133,133,2025-08-29,359321.0,Wallet,Refunded
134,134,2025-07-18,320044.52,Net Banking,Refunded
135,135,2025-12-27,318324.81,UPI,Completed
136,136,2026-05-01,190352.43,Net Banking,Refunded
137,137,2025-11-20,529902.03,Wallet,Completed
138,138,2024-11-06,309124.18,Credit Card,Completed
139,139,2024-06-06,178103.16,UPI,Refunded
140,140,2024-03-17,474276.84,Credit Card,Completed
141,141,2025-08-20,432063.9,UPI,Completed
142,142,2026-08-04,210648.33,Cash on Delivery,Completed
143,143,2026-03-21,101876.67,UPI,Refunded
144,144,2025-08-31,208418.77,Net Banking,Completed
145,145,2024-09-11,404652.5,UPI,Completed
146,146,2025-09-19,157763.89,Wallet,Completed
147,147,2025-11-24,834365.25,UPI,Refunded
148,148,2026-03-27,402342.75,UPI,Completed
149,149,2024-04-11,145803.5,Wallet,Completed
150,150,2026-02-04,246996.13,Credit Card,Completed
151,151,2025-02-05,196629.8,Cash on Delivery,Refunded
152,152,2025-08-26,170128.3,Net Banking,Completed
153,153,2025-05-09,65305.65,Debit Card,Completed
154,154,2026-08-01,23882.46,Net Banking,Completed
155,155,2024-05-26,438442.19,Credit Card,Completed
156,156,2025-04-11,214331.23,Debit Card,Pending
157,157,2024-12-23,668709.0,UPI,Completed
158,158,2026-01-10,507533.1,Wallet,Completed
159,159,2024-11-04,38924.7,Cash on Delivery,Refunded
160,160,2024-04-28,34558.4,UPI,Refunded
161,161,2025-10-26,377413.74,UPI,Refunded
162,162,2026-08-11,615815.59,Debit Card,Completed
163,163,2025-07-19,255396.66,Debit Card,Completed
164,164,2025-03-12,198644.72,Wallet,Completed
165,165,2025-10-07,490284.32,Wallet,Completed
166,166,2025-11-04,90788.2,Debit Card,Completed
167,167,2026-01-25,188500.52,Net Banking,Completed
168,168,2025-03-15,140887.68,Credit Card,Completed
169,169,2024-08-07,136738.44,Net Banking,Completed
170,170,2025-12-21,554020.89,Net Banking,Pending
171,171,2026-03-29,400380.47,Credit Card,Completed
172,172,2024-07-21,269107.84,Cash on Delivery,Completed
173,173,2025-11-17,41414.39,Net Banking,Pending
174,174,2024-11-17,162776.7,Wallet,Completed
175,175,2025-08-25,306867.0,Net Banking,Completed
176,176,2026-05-15,543274.72,Debit Card,Pending
177,177,2026-04-13,693623.75,UPI,Pending
178,178,2024-03-28,145588.58,Net Banking,Completed
179,179,2024-09-02,765352.11,Cash on Delivery,Completed
180,180,2025-01-18,94527.7,Debit Card,Completed
181,181,2025-03-04,507883.62,Net Banking,Completed
182,182,2025-03-10,359344.72,Cash on Delivery,Completed
183,183,2025-07-05,833890.59,Net Banking,Completed
184,184,2025-05-16,159879.06,Credit Card,Completed
185,185,2024-11-19,585764.08,Net Banking,Completed
186,186,2026-06-06,397911.86,Debit Card,Completed
187,187,2024-05-20,483219.44,Credit Card,Refunded
188,188,2025-07-29,267216.76,Cash on Delivery,Completed
189,189,2025-05-18,654261.16,UPI,Refunded
190,190,2025-05-16,52566.42,Net Banking,Completed
191,191,2024-02-01,1003386.08,Wallet,Completed
192,192,2024-10-09,90113.2,Net Banking,Completed
193,193,2024-06-22,576128.69,Net Banking,Pending
194,194,2026-03-03,704511.35,Credit Card,Completed
195,195,2024-04-26,104810.28,Debit Card,Completed
196,196,2025-07-11,604517.28,Net Banking,Completed
197,197,2024-02-13,595286.3,Wallet,Completed
198,198,2025-03-12,606569.95,Net Banking,Refunded
199,199,2026-02-08,580349.22,UPI,Completed
200,200,2025-04-05,320178.33,Net Banking,Completed
201,201,2025-03-25,271077.71,Cash on Delivery,Refunded
202,202,2024-08-03,665678.52,UPI,Refunded
203,203,2025-09-17,621427.65,Net Banking,Completed
204,204,2024-05-22,412172.53,Credit Card,Refunded
205,205,2026-04-04,207892.8,Credit Card,Pending
206,206,2025-06-30,186039.64,UPI,Completed
207,207,2024-06-22,470251.83,Debit Card,Refunded
208,208,2024-10-24,235816.33,Credit Card,Refunded
209,209,2026-07-10,293483.32,Credit Card,Completed
210,210,2026-03-15,425445.5,Debit Card,Completed
211,211,2026-06-06,418587.38,UPI,Refunded
212,212,2024-09-13,232376.13,Debit Card,Refunded
213,213,2026-04-29,333620.82,Wallet,Refunded
214,214,2025-02-06,242229.42,Debit Card,Completed
215,215,2025-10-09,420415.28,Debit Card,Refunded
216,216,2025-01-19,455963.4,Net Banking,Completed
217,217,2026-03-24,146882.01,UPI,Completed
218,218,2026-02-07,131335.17,UPI,Refunded
219,219,2025-04-11,120097.38,UPI,Completed
220,220,2024-01-04,658646.02,Wallet,Refunded
221,221,2025-10-12,179255.76,UPI,Refunded
222,222,2026-03-25,237437.29,Debit Card,Completed
223,223,2026-04-24,147983.9,UPI,Completed
224,224,2024-11-27,177842.24,Credit Card,Completed
225,225,2025-08-15,143518.89,UPI,Pending
226,226,2026-03-19,78480.14,Credit Card,Refunded
227,227,2024-02-19,394683.62,Wallet,Completed
228,228,2026-03-13,55985.36,Net Banking,Completed
229,229,2026-08-10,330358.77,Debit Card,Completed
230,230,2024-01-01,581430.8,Debit Card,Completed
231,231,2026-07-21,692027.21,Wallet,Refunded
232,232,2024-06-11,424309.64,Cash on Delivery,Completed
233,233,2025-01-04,242791.5,Net Banking,Completed
234,234,2025-11-12,175453.25,Wallet,Completed
235,235,2025-10-03,601655.02,UPI,Refunded
236,236,2026-02-12,449713.4,Wallet,Completed
237,237,2024-04-03,53815.94,Wallet,Completed
238,238,2025-05-03,207126.94,UPI,Completed
239,239,2024-08-20,423156.2,Wallet,Completed
240,240,2025-12-14,400130.9,Debit Card,Refunded
241,241,2026-05-31,269513.88,Credit Card,Refunded
242,242,2025-05-04,149682.06,Credit Card,Completed
243,243,2024-04-01,622813.92,Wallet,Completed
244,244,2025-01-12,202088.94,UPI,Completed
245,245,2026-03-03,106713.0,Debit Card,Refunded
246,246,2024-05-27,39868.61,Net Banking,Completed
247,247,2024-01-09,345135.56,Credit Card,Completed
248,248,2026-01-09,659391.28,Cash on Delivery,Refunded
249,249,2024-06-05,94320.52,Debit Card,Completed
250,250,2025-03-30,675839.78,Credit Card,Completed
251,251,2024-05-23,421121.79,Credit Card,Pending
252,252,2025-01-29,131012.85,Wallet,Completed
253,253,2026-03-21,143121.88,Credit Card,Completed
254,254,2025-10-23,548231.43,Wallet,Completed
255,255,2025-09-07,435481.44,Wallet,Refunded
256,256,2024-01-28,500106.55,Debit Card,Completed
257,257,2025-09-14,214987.62,Debit Card,Refunded
258,258,2024-10-30,271498.22,Cash on Delivery,Refunded
259,259,2025-05-22,676920.14,Net Banking,Completed
260,260,2025-05-26,254944.44,Net Banking,Pending
261,261,2025-01-05,862832.95,Wallet,Completed
262,262,2026-05-31,354424.05,UPI,Completed
263,263,2025-11-30,249448.15,Net Banking,Refunded
264,264,2026-02-28,710288.84,Cash on Delivery,Completed
265,265,2024-03-11,561832.39,Cash on Delivery,Completed
266,266,2024-02-11,46027.18,Debit Card,Refunded
267,267,2025-06-02,95175.97,Cash on Delivery,Refunded
268,268,2025-05-29,62315.96,UPI,Completed
269,269,2025-02-16,87439.85,UPI,Refunded
270,270,2025-07-04,557077.29,Credit Card,Completed
271,271,2024-11-13,175243.38,UPI,Completed
272,272,2026-04-08,372343.51,Wallet,Completed
273,273,2025-02-05,212065.25,Wallet,Completed
274,274,2025-03-23,363918.65,Credit Card,Completed
275,275,2024-03-30,318790.8,Cash on Delivery,Completed
276,276,2025-09-18,81232.85,UPI,Completed
277,277,2026-01-29,111626.5,Wallet,Completed
278,278,2025-12-26,337147.03,Debit Card,Refunded
279,279,2024-06-17,419889.25,Cash on Delivery,Completed
280,280,2025-06-13,40354.95,Cash on Delivery,Completed
281,281,2024-05-10,232558.07,UPI,Refunded
282,282,2026-03-01,11720.19,Wallet,Completed
283,283,2024-10-06,182336.45,Credit Card,Completed
284,284,2025-08-13,353918.16,Cash on Delivery,Completed
285,285,2025-06-07,65281.04,Credit Card,Completed
286,286,2026-05-29,454484.08,Debit Card,Completed
287,287,2024-09-18,236690.76,Net Banking,Completed
288,288,2026-01-10,386423.56,Credit Card,Completed
289,289,2025-06-05,104621.92,Cash on Delivery,Completed
290,290,2024-09-08,99322.36,Wallet,Completed
291,291,2025-01-28,269828.04,Cash on Delivery,Completed
292,292,2025-07-21,159185.7,Credit Card,Completed
293,293,2024-09-12,245167.59,Debit Card,Refunded
294,294,2024-10-04,193697.76,Debit Card,Pending
295,295,2024-05-03,1044254.21,Credit Card,Completed
296,296,2026-04-04,607050.36,Wallet,Completed
297,297,2026-06-17,352028.16,UPI,Refunded
298,298,2026-03-04,386966.29,UPI,Completed
299,299,2025-07-20,668305.44,Cash on Delivery,Completed
300,300,2024-07-25,35055.0,Wallet,Completed
