order_id,customer_id,employee_id,order_date,order_status,shipping_city
59,71,26,2025-11-01,Delivered,Surat
60,98,50,2026-04-21,Cancelled,Kanpur
61,83,50,2026-01-27,Shipped,Chennai
62,22,36,2026-01-20,Delivered,Kolkata
63,18,50,2026-01-07,Delivered,Kanpur
64,70,2,2025-10-19,Processing,Mumbai
65,5,3,2026-05-09,Returned,Indore
66,86,1,2024-02-19,Shipped,Bengaluru
67,18,21,2026-05-12,Delivered,Kanpur
68,91,1,2024-06-03,Delivered,Surat
69,65,36,2025-04-11,Delivered,Pune
70,80,50,2025-10-15,Cancelled,Nagpur
71,63,1,2024-01-17,Processing,Kolkata
72,71,1,2025-02-25,Delivered,Surat
73,68,22,2026-01-09,Processing,Jaipur
74,37,41,2024-01-18,Returned,Bengaluru
75,23,6,2024-04-19,Processing,Bengaluru
76,20,15,2024-09-03,Processing,Chennai
77,68,36,2024-09-15,Delivered,Jaipur
78,51,36,2024-03-21,Shipped,Bengaluru
79,59,21,2025-08-01,Cancelled,Mumbai
80,29,3,2024-11-03,Cancelled,Coimbatore
81,84,2,2026-02-16,Delivered,Indore
82,52,39,2025-01-23,Processing,Kolkata
83,61,1,2024-02-27,Cancelled,Jaipur
84,22,50,2024-03-25,Returned,Kolkata
85,56,26,2025-10-22,Processing,Ahmedabad
86,13,2,2026-07-05,Delivered,Delhi
87,28,50,2026-07-11,Delivered,Lucknow
88,6,3,2026-08-04,Cancelled,Hyderabad
89,36,2,2026-07-09,Delivered,Kanpur
90,41,15,2024-01-17,Processing,Bengaluru
91,19,39,2026-02-09,Delivered,Kolkata
92,39,21,2024-06-15,Processing,Kolkata
93,50,26,2025-11-24,Shipped,Bengaluru
94,97,8,2026-01-27,Returned,Nagpur
95,89,3,2026-01-11,Processing,Chennai
96,96,2,2024-12-20,Delivered,Hyderabad
97,56,3,2024-08-25,Delivered,Ahmedabad
98,78,39,2026-02-26,Returned,Kanpur
99,42,22,2024-01-31,Returned,Surat
100,58,21,2025-05-17,Delivered,Pune
101,71,41,2025-01-19,Delivered,Surat
102,88,39,2025-08-22,Delivered,Pune
103,99,25,2025-09-25,Returned,Ahmedabad
104,32,3,2025-12-31,Delivered,Ahmedabad
105,35,39,2024-06-06,Cancelled,Coimbatore
106,82,39,2024-06-06,Delivered,Mumbai
107,47,3,2024-04-19,Delivered,Nagpur
108,40,36,2025-03-31,Returned,Mumbai
109,35,8,2024-04-14,Delivered,Coimbatore
110,24,48,2025-03-17,Processing,Kanpur
111,72,41,2025-06-08,Delivered,Lucknow
112,4,36,2024-04-01,Processing,Bengaluru
113,12,26,2025-09-03,Returned,Surat
114,50,25,2024-01-13,Shipped,Bengaluru
115,50,3,2026-03-08,Cancelled,Bengaluru
116,72,21,2026-07-15,Processing,Lucknow
117,67,39,2024-06-22,Delivered,Indore
118,18,25,2024-10-02,Delivered,Kanpur
119,64,3,2024-05-29,Delivered,Mumbai
120,56,41,2024-10-09,Delivered,Ahmedabad
121,62,3,2026-03-12,Delivered,Surat
122,33,50,2024-09-09,Processing,Mumbai
123,79,48,2024-07-19,Delivered,Indore
124,18,1,2024-11-07,Shipped,Kanpur
125,43,39,2026-05-11,Returned,Indore
126,43,26,2025-03-26,Shipped,Indore
127,84,8,2025-08-31,Delivered,Indore
128,42,15,2025-09-09,Shipped,Surat
129,41,39,2024-06-30,Delivered,Bengaluru
130,38,50,2026-01-22,Processing,Indore
131,32,39,2024-11-29,Delivered,Ahmedabad
132,51,6,2025-01-08,Processing,Bengaluru
133,26,10,2025-08-29,Cancelled,Ahmedabad
134,99,1,2025-07-17,Cancelled,Ahmedabad
135,60,15,2025-12-26,Shipped,Bengaluru
136,38,3,2026-05-01,Returned,Indore
137,53,50,2025-11-20,Delivered,Mumbai
138,82,21,2024-11-06,Delivered,Mumbai
139,85,41,2024-06-06,Returned,Kolkata
140,49,48,2024-03-16,Processing,Ahmedabad
141,62,39,2025-08-19,Processing,Surat
142,65,41,2026-08-03,Processing,Pune
143,5,36,2026-03-20,Cancelled,Indore
144,69,3,2025-08-31,Delivered,Lucknow
145,99,36,2024-09-11,Delivered,Ahmedabad
146,83,2,2025-09-19,Processing,Chennai
147,83,39,2025-11-24,Returned,Chennai
148,43,41,2026-03-26,Delivered,Indore
149,2,22,2024-04-10,Delivered,Kanpur
150,66,21,2026-02-03,Shipped,Nagpur
151,48,48,2025-02-04,Returned,Pune
152,87,8,2025-08-25,Delivered,Ahmedabad
153,4,6,2025-05-09,Delivered,Bengaluru
154,54,3,2026-07-31,Delivered,Coimbatore
155,94,36,2024-05-25,Delivered,Ahmedabad
156,44,15,2025-04-11,Processing,Indore
157,62,50,2024-12-22,Delivered,Surat
158,57,48,2026-01-09,Delivered,Kanpur
159,9,2,2024-11-03,Returned,Ahmedabad
160,91,1,2024-04-27,Returned,Surat
161,44,6,2025-10-25,Cancelled,Indore
162,22,21,2026-08-10,Processing,Kolkata
163,23,10,2025-07-19,Delivered,Bengaluru
164,72,48,2025-03-12,Delivered,Lucknow
165,52,10,2025-10-06,Delivered,Kolkata
166,82,41,2025-11-04,Shipped,Mumbai
167,4,15,2026-01-25,Shipped,Bengaluru
168,76,39,2025-03-15,Delivered,Surat
169,91,15,2024-08-07,Delivered,Surat
170,97,3,2025-12-21,Processing,Nagpur
171,14,10,2026-03-29,Delivered,Nagpur
172,42,48,2024-07-20,Delivered,Surat
173,34,50,2025-11-17,Processing,Indore
174,82,39,2024-11-16,Processing,Mumbai
175,51,6,2025-08-24,Delivered,Bengaluru
176,46,48,2026-05-15,Processing,Nagpur
177,23,25,2026-04-13,Processing,Bengaluru
178,76,8,2024-03-27,Delivered,Surat
179,16,25,2024-09-01,Delivered,Ahmedabad
180,24,8,2025-01-17,Processing,Kanpur
181,50,8,2025-03-04,Processing,Bengaluru
182,50,10,2025-03-09,Shipped,Bengaluru
183,82,10,2025-07-04,Processing,Mumbai
184,22,25,2025-05-16,Delivered,Kolkata
185,24,48,2024-11-18,Processing,Kanpur
186,7,36,2026-06-05,Delivered,Ahmedabad
187,63,15,2024-05-19,Returned,Kolkata
188,50,50,2025-07-29,Shipped,Bengaluru
189,88,41,2025-05-18,Cancelled,Pune
190,57,10,2025-05-15,Delivered,Kanpur
191,73,21,2024-02-01,Delivered,Kanpur
192,5,21,2024-10-08,Processing,Indore
193,37,48,2024-06-21,Processing,Bengaluru
194,96,50,2026-03-02,Processing,Hyderabad
195,66,6,2024-04-25,Delivered,Nagpur
196,100,36,2025-07-10,Processing,Lucknow
197,97,48,2024-02-12,Processing,Nagpur
198,28,6,2025-03-11,Cancelled,Lucknow
199,84,21,2026-02-08,Delivered,Indore
200,5,22,2025-04-05,Delivered,Indore
201,12,6,2025-03-25,Returned,Surat
202,31,36,2024-08-02,Returned,Delhi
203,91,41,2025-09-16,Delivered,Surat
204,79,15,2024-05-22,Returned,Indore
205,27,2,2026-04-04,Processing,Lucknow
206,45,22,2025-06-29,Processing,Kanpur
207,69,26,2024-06-21,Cancelled,Lucknow
208,38,22,2024-10-23,Returned,Indore
209,66,6,2026-07-10,Delivered,Nagpur
210,97,41,2026-03-15,Delivered,Nagpur
211,36,8,2026-06-06,Cancelled,Kanpur
212,17,8,2024-09-12,Cancelled,Jaipur
213,42,21,2026-04-28,Returned,Surat
214,87,50,2025-02-06,Delivered,Ahmedabad
215,74,22,2025-10-09,Cancelled,Surat
216,54,48,2025-01-19,Delivered,Coimbatore
217,82,3,2026-03-24,Shipped,Mumbai
218,66,22,2026-02-06,Cancelled,Nagpur
219,48,50,2025-04-10,Delivered,Pune
220,75,3,2024-01-03,Cancelled,Indore
221,59,36,2025-10-12,Returned,Mumbai
222,9,39,2026-03-25,Delivered,Ahmedabad
223,55,15,2026-04-24,Shipped,Surat
224,35,25,2024-11-26,Delivered,Coimbatore
225,71,8,2025-08-14,Processing,Surat
226,63,26,2026-03-18,Cancelled,Kolkata
227,98,2,2024-02-19,Delivered,Kanpur
228,81,48,2026-03-13,Delivered,Delhi
229,16,10,2026-08-09,Shipped,Ahmedabad
230,59,41,2024-01-01,Delivered,Mumbai
231,89,8,2026-07-20,Cancelled,Chennai
232,39,22,2024-06-11,Delivered,Kolkata
233,84,22,2025-01-04,Delivered,Indore
234,48,10,2025-11-11,Delivered,Pune
235,51,25,2025-10-02,Cancelled,Bengaluru
236,90,21,2026-02-12,Shipped,Coimbatore
237,84,6,2024-04-03,Delivered,Indore
238,28,3,2025-05-03,Delivered,Lucknow
239,76,48,2024-08-19,Delivered,Surat
240,2,26,2025-12-13,Returned,Kanpur
241,16,41,2026-05-30,Cancelled,Ahmedabad
242,17,3,2025-05-04,Delivered,Jaipur
243,50,6,2024-04-01,Delivered,Bengaluru
244,41,25,2025-01-11,Delivered,Bengaluru
245,49,8,2026-03-03,Cancelled,Ahmedabad
246,87,3,2024-05-26,Processing,Ahmedabad
247,73,10,2024-01-09,Shipped,Kanpur
248,45,15,2026-01-09,Cancelled,Kanpur
249,96,41,2024-06-04,Processing,Hyderabad
250,88,15,2025-03-29,Delivered,Pune
251,13,6,2024-05-23,Processing,Delhi
252,94,36,2025-01-28,Shipped,Ahmedabad
253,41,8,2026-03-21,Delivered,Bengaluru
254,36,3,2025-10-22,Delivered,Kanpur
255,71,25,2025-09-07,Returned,Surat
256,89,25,2024-01-28,Delivered,Chennai
257,67,15,2025-09-13,Cancelled,Indore
258,51,2,2024-10-29,Returned,Bengaluru
259,31,39,2025-05-21,Delivered,Delhi
260,31,3,2025-05-26,Processing,Delhi
261,2,26,2025-01-04,Delivered,Kanpur
262,50,41,2026-05-31,Delivered,Bengaluru
263,70,10,2025-11-30,Returned,Mumbai
264,61,3,2026-02-27,Delivered,Jaipur
265,76,1,2024-03-10,Delivered,Surat
266,28,2,2024-02-10,Returned,Lucknow
267,51,25,2025-06-02,Cancelled,Bengaluru
268,92,41,2025-05-28,Shipped,Pune
269,90,3,2025-02-15,Cancelled,Coimbatore
270,69,8,2025-07-04,Delivered,Lucknow
271,11,3,2024-11-13,Processing,Mumbai
272,27,8,2026-04-07,Processing,Lucknow
273,42,3,2025-02-04,Delivered,Surat
274,90,21,2025-03-23,Delivered,Coimbatore
275,32,41,2024-03-29,Delivered,Ahmedabad
276,59,2,2025-09-18,Delivered,Mumbai
277,86,10,2026-01-29,Delivered,Bengaluru
278,2,8,2025-12-25,Cancelled,Kanpur
279,2,50,2024-06-16,Delivered,Kanpur
280,67,22,2025-06-13,Delivered,Indore
281,48,22,2024-05-09,Cancelled,Pune
282,16,1,2026-02-28,Delivered,Ahmedabad
283,55,3,2024-10-05,Delivered,Surat
284,92,3,2025-08-13,Shipped,Pune
285,59,36,2025-06-07,Delivered,Mumbai
286,64,10,2026-05-29,Delivered,Mumbai
287,21,6,2024-09-18,Processing,Coimbatore
288,87,6,2026-01-10,Delivered,Ahmedabad
289,95,1,2025-06-05,Delivered,Mumbai
290,2,2,2024-09-07,Shipped,Kanpur
291,47,8,2025-01-27,Delivered,Nagpur
292,5,41,2025-07-20,Delivered,Indore
293,42,41,2024-09-11,Cancelled,Surat
294,41,3,2024-10-04,Processing,Bengaluru
295,48,2,2024-05-02,Delivered,Pune
296,29,2,2026-04-03,Shipped,Coimbatore
297,9,48,2026-06-17,Returned,Ahmedabad
298,37,25,2026-03-03,Delivered,Bengaluru
299,12,48,2025-07-20,Delivered,Surat
300,48,25,2024-07-24,Processing,Pune
